payer_id;recency;frequency;monetary;R_Score;F_Score;M_Score;RFM_segment;Segment_Name
PID_0105971b9dc8;50;5;500.0;2;2;1;221;Требуют внимания
PID_0106213aa447;56;1;200.0;1;1;1;111;Ушедшие новички
PID_0107c6711eb4;2;17;8500.0;3;3;3;333;VIP / Супер-ядро
PID_0108af63deda;46;17;6700.0;2;3;3;233;Засыпающие VIP
PID_0108d41f66d2;50;23;4400.0;2;3;3;233;Засыпающие VIP
PID_01097b992ab3;33;1;10.0;2;1;1;211;Остывающие новички
PID_0109da5a5d4f;20;93;42600.0;2;3;3;233;Засыпающие VIP
PID_010aa9598a1d;65;7;1400.0;1;2;2;122;Потерянные VIP
PID_010b4f9ecce5;5;28;14000.0;3;3;3;333;VIP / Супер-ядро
PID_010bb8d56f68;56;3;600.0;1;2;2;122;Потерянные VIP
PID_01106dec285f;1;70;7000.0;3;3;3;333;VIP / Супер-ядро
PID_0110d7d2bbf0;0;87;8700.0;3;3;3;333;VIP / Супер-ядро
PID_0115068c620b;52;8;1300.0;1;2;2;122;Потерянные VIP
PID_0119f54f4034;41;11;1100.0;2;3;2;232;Засыпающее ядро
PID_011a5a0e7f03;33;8;800.0;2;2;2;222;Требуют внимания
PID_011d2984c49e;63;3;600.0;1;2;2;122;Потерянные VIP
PID_012141081f99;25;62;6200.0;2;3;3;233;Засыпающие VIP
PID_0126d082d7a7;12;5;500.0;3;2;1;321;Потенциальное ядро
PID_01281cd37e03;49;18;1800.0;2;3;2;232;Засыпающее ядро
PID_012b41485094;56;19;1900.0;1;3;2;132;Потерянные VIP
PID_012c17ea3e34;29;2;200.0;2;1;1;211;Остывающие новички
PID_0137a48b47d2;1;15;7500.0;3;3;3;333;VIP / Супер-ядро
PID_013e5f3ac62e;6;20;2000.0;3;3;2;332;Лояльное ядро
PID_0142a5fd44b8;15;1;500.0;3;1;1;311;Новые доноры (Малый чек)
PID_0142bcf5899a;24;3;2500.0;2;2;3;223;Требуют внимания
PID_0142fd9020bd;29;3;300.0;2;2;1;221;Требуют внимания
PID_0143da7be674;1;28;8400.0;3;3;3;333;VIP / Супер-ядро
PID_0148eea7293c;60;9;4500.0;1;2;3;123;Потерянные VIP
PID_014e16a9ad74;33;8;1600.0;2;2;2;222;Требуют внимания
PID_014e2ed38b63;56;7;700.0;1;2;2;122;Потерянные VIP
PID_0150d8ffd4af;57;5;500.0;1;2;1;121;Ушедшие экономные
PID_0154d6ac8335;9;20;4000.0;3;3;3;333;VIP / Супер-ядро
PID_01574cd7ce97;58;1;100.0;1;1;1;111;Ушедшие новички
PID_015b6918282c;40;1;100.0;2;1;1;211;Остывающие новички
PID_015ba140cdb6;49;7;700.0;2;2;2;222;Требуют внимания
PID_015e81b640e6;0;6;3000.0;3;2;3;323;Потенциальное ядро
PID_015f77294256;2;12;6000.0;3;3;3;333;VIP / Супер-ядро
PID_015fdb2d7754;52;1;1000.0;1;1;2;112;Ушедшие новички
PID_016139291061;39;22;6600.0;2;3;3;233;Засыпающие VIP
PID_0164fb80a2ef;22;5;500.0;2;2;1;221;Требуют внимания
PID_016810d8738b;58;5;500.0;1;2;1;121;Ушедшие экономные
PID_016a7037878e;58;1;500.0;1;1;1;111;Ушедшие новички
PID_016b0d1090ba;55;1;500.0;1;1;1;111;Ушедшие новички
PID_016f77f1da77;63;3;600.0;1;2;2;122;Потерянные VIP
PID_01719b7f9e16;57;2;400.0;1;1;1;111;Ушедшие новички
PID_0176c11df940;3;44;4400.0;3;3;3;333;VIP / Супер-ядро
PID_0178c955196d;1;39;3900.0;3;3;3;333;VIP / Супер-ядро
PID_0178e1ace424;38;2;200.0;2;1;1;211;Остывающие новички
PID_0179661f3312;43;5;500.0;2;2;1;221;Требуют внимания
PID_017da3aac1ce;25;1;500.0;2;1;1;211;Остывающие новички
PID_01815c41fc4c;24;29;5800.0;2;3;3;233;Засыпающие VIP
PID_01832b5032f1;21;2;600.0;2;1;2;212;Остывающие новички
PID_0183b3844cd8;1;16;1600.0;3;3;2;332;Лояльное ядро
PID_018471d6bf99;5;20;6000.0;3;3;3;333;VIP / Супер-ядро
PID_018635933bf7;70;1;200.0;1;1;1;111;Ушедшие новички
