payer_id;amount;share;cum_share;abc_class
PID_0c805ad28c0f;235500.0;0.003184450564206902;0.003184450564206902;A
PID_7baae73ac7f2;200000.0;0.0027044166150377085;0.00588886717924461;A
PID_2f1f912f078a;180000.0;0.0024339749535339378;0.008322842132778549;A
PID_7658d88f2574;180000.0;0.0024339749535339378;0.010756817086312487;A
PID_08f50d5b2763;177500.0;0.0024001697458459663;0.013156986832158452;A
PID_23a12e15c6db;177500.0;0.0024001697458459663;0.015557156578004418;A
PID_5e5e0d59a806;173500.0;0.0023460814135452123;0.01790323799154963;A
PID_0c172162b1fc;170000.0;0.0022987541227820524;0.02020199211433168;A
PID_a27a0a09768f;160500.0;0.002170294333567761;0.02237228644789944;A
PID_b7dcbc21a198;150000.0;0.0020283124612782816;0.02440059890917772;A
PID_cefbcfe1d412;132600.0;0.0017930282157700007;0.026193627124947723;A
PID_0d6fc758e01f;130000.0;0.0017578707997745106;0.027951497924722235;A
PID_5a3a8883e875;130000.0;0.0017578707997745106;0.029709368724496747;A
PID_11f80be5d336;130000.0;0.0017578707997745106;0.03146723952427126;A
PID_fe4e2aa07653;124000.0;0.0016767383013233793;0.03314397782559464;A
PID_44acd099ec38;120000.0;0.001622649969022625;0.03476662779461726;A
PID_df0af638fb90;120000.0;0.001622649969022625;0.036389277763639885;A
PID_0aab2c109b66;112000.0;0.0015144733044211167;0.037903751068061;A
PID_632cc4ca77b8;107230.0;0.0014499729681524674;0.03935372403621347;A
PID_58bcbb8bdeb9;105500.0;0.0014265797644323912;0.04078030380064586;A
PID_478d6514b3be;102000.0;0.0013792524736692313;0.04215955627431509;A
PID_ec8294bbc8da;102000.0;0.0013792524736692313;0.043538808747984326;A
PID_6e1637a56a34;102000.0;0.0013792524736692313;0.04491806122165356;A
PID_7c07a726073a;100000.0;0.0013522083075188543;0.04627026952917241;A
PID_d36bbcc394a2;100000.0;0.0013522083075188543;0.04762247783669126;A
PID_ea5ee93bd374;98900.0;0.0013373340161361468;0.048959811852827405;A
PID_78208905dd1f;97000.0;0.0013116420582932886;0.05027145391112069;A
PID_7e9529c7c03d;91500.0;0.0012372706013797517;0.051508724512500444;A
PID_504151ac5144;91000.0;0.0012305095598421573;0.0527392340723426;A
PID_05a529314f39;90000.0;0.0012169874767669689;0.05395622154910957;A
PID_51ed126b4978;90000.0;0.0012169874767669689;0.05517320902587654;A
PID_7b8861ea5cd2;90000.0;0.0012169874767669689;0.05639019650264351;A
PID_43b9cb9bb248;90000.0;0.0012169874767669689;0.057607183979410476;A
PID_b1ea63fb7e93;88600.0;0.001198056560461705;0.05880524053987218;A
PID_886b180f748a;87000.0;0.0011764212275414032;0.05998166176741359;A
PID_244006bbacde;87000.0;0.0011764212275414032;0.061158082994954996;A
PID_0c7ad38ae637;86000.0;0.0011628991444662146;0.06232098213942121;A
PID_e3dde3324942;85000.0;0.0011493770613910262;0.06347035920081223;A
PID_73b6df89b605;81300.0;0.0010993453540128284;0.06456970455482507;A
PID_c8ccd6d3d070;80000.0;0.0010817666460150835;0.06565147120084015;A
PID_1df426bb1ed9;80000.0;0.0010817666460150835;0.06673323784685524;A
PID_5d9fa6d60389;79000.0;0.0010682445629398949;0.06780148240979514;A
PID_0caa8ccee82a;79000.0;0.0010682445629398949;0.06886972697273504;A
PID_fcb3ddb49362;78000.0;0.0010547224798647063;0.06992444945259975;A
PID_5cd90ec9bbf9;78000.0;0.0010547224798647063;0.07097917193246446;A
PID_d75f5087f3ef;78000.0;0.0010547224798647063;0.07203389441232917;A
PID_ae38d50ffa1c;76300.0;0.0010317349386368857;0.07306562935096605;A
PID_4f7f8d5d8c4d;74000.0;0.0010006341475639522;0.07406626349853;A
PID_5a624ffe90f2;73400.0;0.0009925208977188391;0.07505878439624884;A
PID_4bc28ebe95d7;72500.0;0.0009803510229511694;0.07603913541920002;A
PID_3ba97a8aaf54;69000.0;0.0009330237321880095;0.07697215915138803;A
PID_c1d96c4de570;68000.0;0.0009195016491128209;0.07789166080050085;A
PID_587adcaf3fa0;67650.0;0.0009147689200365049;0.07880642972053735;A
PID_2522d44d517f;67000.0;0.0009059795660376324;0.07971240928657498;A
PID_9b02f46da96c;67000.0;0.0009059795660376324;0.08061838885261262;A
PID_1f25d73071b0;66500.0;0.000899218524500038;0.08151760737711265;A
PID_100cdb5afdee;66000.0;0.0008924574829624438;0.0824100648600751;A
PID_5c5d7a141c84;66000.0;0.0008924574829624438;0.08330252234303755;A
PID_d5d54112a01a;66000.0;0.0008924574829624438;0.084194979826;A
PID_ba83be052e58;65500.0;0.0008856964414248495;0.08508067626742484;A
PID_2fee36553849;65000.0;0.0008789353998872553;0.0859596116673121;A
PID_fa2674fc4b87;65000.0;0.0008789353998872553;0.08683854706719936;A
PID_0e99963b1ec1;63800.0;0.000862708900197029;0.08770125596739639;A
PID_7447c816aa78;63500.0;0.0008586522752744725;0.08855990824267086;A
PID_d7abfc03c589;63000.0;0.0008518912337368782;0.08941179947640775;A
PID_0afbf79e8209;62000.0;0.0008383691506616897;0.09025016862706943;A
PID_068decfe49ab;62000.0;0.0008383691506616897;0.09108853777773111;A
